name,about,incentives,disciplines,academia,skills,activities,child_paths,display_name
marine engineers and naval architects,"prepare system layouts and detailed drawings and schematics. inspect marine equipment and machinery, and draw up work requests and job specifications. conduct environmental, operational, or performance tests on marine machinery and equipment.",job,"architecture, engineering",bachelors degree,"communication, ingenuity, interpersonal","marine engineers and naval architects design, build, and maintain ships",,""
materials engineers,"materials engineers develop, process, and test materials used to create a range of products, from computer chips and aircraft wings to golf clubs and biomedical devices",job,"architecture, engineering",bachelors degree,"analytical, math, problem-solving, speaking, writing","plan and evaluate new proejcts, consulting with other engineers and managers as necessary. prepare proposals and budgets, analyze labor costs, write reports and perform other managerial tasks",,""
mechanical engineering technicians,"mechanical engineering technicians help mechanical engineers design, develop, test, and manufacture mechanical devices, including tools, engines, and machines",job,"architecture, engineering",associates degree,"communication, creativity, detail oriented, math, mechanical",evaluate design drawings for new or changed tools by measuring dimensions on the drawings and comparing them with the original specifications. prepare layouts and drawings of parts to be made and of the process for putting the parts together,,""
mechanical engineers,"mechanical engineers research, design, develop, build and test mechanical and thermal sensors and devices, including tools, engines, and machines",job,"architecture, engineering",bachelors degree,"creativity, listening, math, mechanical, problem-solving","analyze problems to see how mechanical and thermal devices might help solve a particular problem. design or redesign mechanical and thermal devices or subsystems, using analysis and computer aided design. investigate equipment failures or difficulties to diagnose faulty operation and to recommend remedies",,""
mining and geological engineers,design open pit and underground mines. supervise the construction of mine shafts and tunnels. devise methods for transporting minerals to processing plants.,job,"architecture, engineering",bachelors degree,"analytical, decision-making, logical-thinking, math, problem-solving, writing",mining and geological engineers design mines to safely and efficiently remove minerals such as coal and metals for use in manufacturing and utilities,,""
nuclear engineers,"nuclear engineers research and develop the processes, instruments, and systems used to derive benefits from nuclear engineer and radiation",job,"architecture, engineering",bachelors degree,"analytical, communication, detail oriented, logical-thinking, math, problem-solving","design or develop nuclear equipment, such as reactor cores, radiation shielding, and associated instrumentation. direct operating or maintenance activities of operational nuclear power plans to ensure that they meet safety standards",,""
petroleum engineers,petroleum engineers d3esign and develop methods for extracting oil and gas from deposits below the earths surface. also find new ways to extract oil and gas from older wells,job,"architecture, engineering",bachelors degree,"analytical, creativity, interpersonal, math, problem-solving","design equipment to extract oil and gas from onshore and offshore reserves deep underground. develop plans to drill in oil and gas fields, and then to recover the oil and gas. develop ways to inject water, chemicals, gases, or steam into an oil reserve to force out more oil or gas",,""
surveying and mapping technicians,visit sites to record survey measurements and other descriptive data. operate surveying instruments. select needed information from databases to create maps. edit and process images that have been collected in the field,job,"architecture, engineering",high school diploma,"decision making, detail oriented, listening, physical stamina, problem-solving",surveying and mapping technicians collect data and make maps of the earths surface. surveying technicians visit sites to take measurements of the land. mapping technicians use geographic data to create maps,,""
surveyors,"measure distances and angles between points on, above, and below the earths surface. travel to locations and use known reference points to determine the exact location of important features",job,"architecture, engineering",bachelors degree,"communication, detail oriented, physical stamina, problem-solving, time-management, visualization","surveys make precise measurements to determine property boundaries. they provide data relevant to the shape and contour of the earths surface for engineering, map-making, and construction projects",,""
art directors,"art directors are responsible for the visual style and images in magazines, newspapers, product packaging, and movie and television productions. they crate the overall design and direct others who develop artwork or layouts",job,"arts, design","bachelors degree, 5/more/years related occupation","communication, creativity, leadership, resourcefulness, time-management","determine how best to represent a concept visually. determine which photographs, art, or other design elements to use. develop the overall look or style of a publication, an advertising campaign, or a theater, television, or film set.",,""
craft and fine artists,craft and fine artists use a variety of materials and techniques to create art for sale and exhibition.,job,"arts, design",long-term-on-the-job training,"artistic ability, business, creativity, customer-service, dexterity, interpersonal","use techniques such as knitting, weaving, glassblowing, painting, drawing, and sculpting. develop creative ideas or new methods for making art. create sketches, templates or models to guide their work",,""
fashion  designers,"fashion designers create original clothing, accessories, and footwear. they sketch designs, select fabrics and patterns, and give instructions on how to make the products they design",job,"arts, design",bachelors degree,"artistic ability, communication, computer, creativity, decision making, detail oriented",study fashion trends and anticipate designs that will appeal to consumers. decide on a theme for a collection. use computer aided design programs to create designs,,""
floral designers,"floral designers cut and arrange live, dried, and silk flowers and greenery to make decorative displays. they also help customers select flowers, containers, ribbons, and other accessories",job,"arts, design",high school diploma,"artistic ability, creativity, customer-service, organizational","purchase flowers from wholesalers and suppliers to ensure an adequate supply to meet customers needs. determine the type of arrangement desired, the occasion, and the date, time and location for delivery",,""
graphic designers,"graphic designers create visual concepts, using computer software or by hand to communicate ideas that inspire inform and captivate consumers",job,"arts, design",bachelors degree,"analytical, artistic, communication, computer, creativity, time-management","meet with clients or the art director to determine the scope of a project. use digital illustration, photo editing software, and layout software to create designs. create visual elements such as logos, original images, and illustrations that help deliver a desired message.",,""
industrial designers,"industrial designers develop the concepts for manufactured products, such as cars, home appliances and toys",job,"arts, design",bachelors degree,"analytical, artistic, computer, creativity, interpersonal, mechanical, problem-solving",consult with clients to determine requirements for designs. research the various ways a particular product might be used and who will use it. sketch out ideas or create renderings,,""
interior designers,"interior designers make interior spaces functional, safe and beautiful by determining space requirements and selecting decorative items",job,"arts, design",bachelors degree,"artistic ability, creativity, detail oriented, interpersonal, problem-solving, visualization",search for and bid on new projects. determine the clients goals and requirements for the project. consider how the space will be used and how people will move through the space,,""
multimedia artists and animators,"multimedia artists and animators create two and three dimensional models, animation and visual effects for television, movies, video games, and other forms of media",job,"arts, design",bachelors degree,"communication, computer, creativity, time-management","use computer programs and illustrations to create graphics and animation. work with a team of animators and artists to create a movie, game, or visual effect. research upcoming projects to help create realistic designs or animations",,""
grounds maintenance workers,"grounds maintenance workers ensure that the grounds of houses, businesses, parks and urban infrastructure are attractive orderly and healthy  in order to provide a pleasant outdoor environment",job,building and grounds cleaning,null,"physical stamina, self-motivated, visualization","mow, edge, and fertilize lawns. weed and mulch landscape beds. trim hedges, shrubs, and small trees",,""
janitors and building cleaners,"janitors and building cleaners keep many times of buildings clean, orderly, and in good condition",job,building and grounds cleaning,on-the-job training,"interpersonal, mechanical, physical stamina, physical strength, time-management",gather and empty trash. sweep mop or vacuum building floors. clean restrooms and stock them with supplies,,""
pest control workers,"pest control workers remove unwanted pests, such as roaches, rats, ants, bedbugs, mosquitoes, ticks, and termites that infest buildings and surrounding areas",job,building and grounds cleaning,"high school diploma, on-the-job training","bookkeeping, customer-service, detail oriented, physical stamina",inspect buildings and premises for signs of pests or infestation. determine the type of treatment needed to eliminate pests.  measure the dimensions of the area needing treatment,,""
accountants and auditors,accountants and auditors prepare and examine financial records. they ensure that financial records are accurate and that taxes are paid properly and on time,job,business and financial,bachelors degree,"analytical, communication, detail oriented, math, organizational",examine financial statements to ensure that they are accurate and comply with laws and regulations. compute taxes owed,,""
appraisers and assessors of real estate,"appraisers and assessors of real estate provide a value estimate on land and buildings usually before they are sold, mortgaged, taxed, insured or developed",job,business and financial,bachelors degree,"analytical, customer-service, math, organizational, problem-solving, time-management",verify legal descriptions of real estate properties in public records. inspect new and existing properties noting the characteristics,,""
budget analysts,budget analysts help public and private institutions organize their finances. they prepare budget reports and monitor institutional spending,job,business and financial,bachelors degree,"analytical, communication, detail oriented, math, writing","work with program and project managers to develop the organizations budget. review managers budget proposals for completeness, accuracy and compliance with laws and other regulations",,""
"claims adjusters, appraisers examiners, and investigators","claims adjusters appraisers, examiners and investigators evaluate insurance claims. they decide whether an insurance company must pay a claim and if so how much",job,business and financial,null,"analytical, communication, detail oriented, interpersonal, math","investigate, evaluate, and settle insurance claims. determine whether the insurance policy covers the loss claimed. decide the appropriate amount the insurance company should pay",,""
"compensation, benefits and job analysis specialists","compensation, benefits and job analysis specialists conduct an organizations compensation and benefits programs. they also evaluate position descriptions to determine details such as classification and salary",job,business and financial,"bachelors degree, less-than-5-years-related occupation","analytical, business, communication, critical-thinking",research compensation and benefits policies and plans. use data and cost analyses to compare compensation and benefits plans. evaluate position descriptions to determine classification and salary,,""
cost estimators,"cost estimators collect and analyze data in order to estimate the time, money, materials and labor required to manufacture a product, construct a building or provide a service",job,business and financial,bachelors degree,"analytical, communication, detail oriented, math, time-management","identify factors affecting costs, such as production time, materials, and labor. read blueprints and technical documents in order to prepare estimates. collaborate with engineers, architects, clients and contractors",,""
financial analysts,"financial analysts provide guidance to businesses and individuals making investment decisions. they assess the performance of stocks, bonds and other types of investments",job,business and financial,bachelors degree,"analytical, communication, computer, decisionmaking, detail oriented, math",recommend individual investments and collections of investments which are known as portfolios. evaluate current and historical financial data. study economic and business trends,"portfolio managers, fund managers, ratings analysts, risk analysts",""
financial examiners,"financial examiners ensure compliance with laws governing financial institutions and transactions. they review balance sheets, evaluate the risk level of loans and assess bank management",job,business and financial,"bachelors degree, on-the-job training","analytical, detail oriented, math, writing","monitor the financial condition of banks and other financial institutions. review balance sheets, operating income and expense accounts, and loan documentation to confirm institution assets and liabilities",null,""
fundraisers,"fundraisers organize even ts and campaigns to raise money and other kinds of donations for an organization. they also may design promotional materials and increase awareness of an organizations work, goals, and financial needs",job,business and financial,bachelors degree,"communication, detail oriented, interpersonal, organizational",research propsective donors. create a strong fundraising message that appeals to poitential donors. identify and contact potential donors. use online platforms to raise donations,"annual campaign fundraisers, capital campaign fundraisers, major-gifts fundraisers, planned-giving fundraisers",""
human resources specialists,"human resources specialists recruit, screen interview, and place workers. they often handle tasks related to employee relations, compensation and benefits, and training",job,business and financial,bachelors degree,"communication, decisionmaking, detail oriented, interpersonal","consult with employers to identify employment needs. interview applicants about their experience, education and skills. contact references and perform background checks on job applicants",null,""
insurance underwriters,"insurance underwriters decide whether to provide insurance, and under what terms. they evaluate insurance applications and determine coverage amounts and premiums",job,business and financial,"bachelors degree, on-the-job training","analytical, decisionmaking, detail oriented, interpersonal, math",analyze information stated on insurance applications. determine the risk involved in insuring a client. screen applicants on the basis of set criteria. evaluate recommendations from underwriting software,null,""
labor relations specialists,"labor relations specialists interpret and administer labor contracts regarding issues such as wages and salaries, healthcare, pensions, and union and management practices",job,business and financial,"bachelors degree, 5/less related occupation","decisionmaking, detail oriented, interpersonal, listening, writing","advise management n contracts, worker grievances and disciplinary procedures. lead meetings between management and labor. m eet with union representatitves",null,""
loan officers,"loan officers evaluate, authorize, or recommend approval of loan applications for people and business",job,business and financial,"bachelors degree, on-the-job training","decisionmaking, detail oriented, initiative, interpersonal","contact companies or people to ask if they need a loan. meet with loan applicants to gather personal information and answer questions. explain different types of loans and the terms of each type to applicants. obtain, verify and analyze the applicants financial information such as credit rating and income level.","consumer loan officers, mortgage loan officers, loan collection officers, loan underwriters",""
logisticians,"logisticians analyze and coordinate an organizations supply chain – the system that moves a product from supplier to consumer. they manage the entire life cycle of a product, which includes how a product is acquired, allocated, and delivered",job,business and financial,bachelors degree,"communication, critical-thinking, customer service, organizational, problem-solving","manage a products life cycle from design to disposal. direct the allocation of materials, suppliers and clients. develop business relationships with suppliers and clients.",,""
management analysts,"management analysts, often called management consultants, propose ways to improve an organizations efficiency. they advise managers on how to make organizations more profitable through reduced cotss and increase revenues",job,business and financial,"bachelors degree, 5/less related occupation","communication, interpersonal, problem-solving, time-management","gather and organize information about the problem to be solved or the procedure to be improved. interview personnel and conduct onsite observations to determine the methods, equipment and personnel that will be needed. analyze financial and other data, including revenue, expenditure and employment reports",,""
market research analysts,"market research analysts study market conditions to examine potential sales of a product or service. they help companies understand what products people want, who will buy them, and at what price",job,business and financial,bachelors degree,"analytical, communication, critical-thinking, detail oriented","monitor and forecast marketing and sales trends. measure the effectiveness of marketing programs and strategies. devise and evaluate methods for collecting data such as surveys, questionnaires and opinion polls",,""
"meeting, convention and event planner","meeting, convention, and event planners coordinate all aspects of events and professional meetings. they  arrange meeting locations transportation and other details",job,business and financial,bachelors degree,"communication, interpersonal, negotiation, organizational, problem-solving","meet with clients to understand the purpose of the meeting or event. plan the scope of the event, including its time, location and cost. solicit bids from venues and service providers.","meeting planners, convention planners, event planners",""
personal financial advisors,"personal financial advisors provide advice on investments, insurance, mortgages, college savings, estate planning, taxes and retirement to help individuals manage their finances",job,business and financial,"bachelors degree, on-the-job training","analytical, interpersonal, math, sales, speaking",meet with clients in person to discuss their financial goals. explain the types of financial services they provide to potential clients. educate clients and answer questions about investment options and potential risks.,"private bankers, wealth managers",""
"purchasing managers, buyers, and purchasing agents","buys and purchasing agents buy products and services for organizations to use or resell. they evaluate suppliers, negotiate contracts, and review the quality of products.",job,business and financial,bachelors degree,"analytical, decisionmaking, math, negotiating","evaluate suppliers on the bass of the price, quality and speed of delivery of their products and services. interview vendors and visit suppliers plants and distribution centers to examine and learn about products, services and prices.","purchasing agents and buyers of farm products, purchasing agents except wholesale/retail/farm products, wholesale and retail buyers",""
tax examiners and collectors and revenue agents,tax examiners and collects and revenue agents determine how much is owed in taxes and collect tax from individuals and businesses on behalf of federal state and local governments,job,business and financial,"bachelors degree, on-the-job training","analytical, computer, detail oriented, interpersonal, organizational",review filed tax returns to determine whether credits and deductions claimed are allowed by law. contact taxpayers to address problems and to request supporting documentation. conduct field audits and investigations of income tax returns to verify information or to update tax liabilities.,"tax examiners, revenue agents, collectors",""
training and development specialists,"training and development specialists help plan, conduct and administer programs that train employees and improve their skills knowledge",job,business and financial,"bachelors degree, 5/less related occupation","analytical, communication, creativity, instructional","assess training needs through surveys, interviews with employees or consultations with managers or instructors.  design and create training manuals online learning modules and course materials",,""
health educators and community health workers,health educators teach people about behaviors that promote wellness. they develop and implement strategies to improve the health of individuals and communities,job,community and social service,"bachelors degree, credentials, certifications","analytical, instructional, interpersonal, problem-solving, writing","assess the health needs of the people and communities they serve. develop programs, materials and events to teach people about health topics. teach people how to manage existing health conditions",,""
marriage and family therapists,marriage and family therapists help people manage problems with their family and other relationships,job,community and social service,"masters degree, internship, residency","compassion, interpersonal, listening, organizational, speaking","encourage clients to discuss their emotions and experiences. help clients process their reacts and adjust to difficult changes in their life, such as divorce and layoffs. guide clients through the process of making decisions about their future.",,""
probation officers and correctional treatment specialists,probation officers and correctional treatment specialists provide social services to assist in rehabilitation of law offenders in custody or on probation or parole,job,community and social service,"bachelors degree, on-the-job training","communication,  critical0thinking, decisionmaking, emotional stability, organizational","interview with probationers and parolees, their friends, and relatives in an office or at a residence to assess progress. evaluate probationers and parolees to determine the best course of action","probation officers, parole officers, pretrial services officers, correctional treatment specialists,",""
rehabilitation counselors,"rehabilitation counselors help people with physical, mental, developmental, or emotional disabilities live independently",job,community and social service,masters degree,"communication, compassion, critical-thinking, interpersonal, listening, patience","provide individual and group counseling to help clients adjust to their disability. evaluate clients abilities, interests, experiences, skills, health and education",,""
school and career counselors,school counselors help students develop the academic and social skills that lead to success in school.,job,community and social service,masters degree,"analytical, compassion, interpersonal, listening, speaking","evaluate students abilities and interests through aptitude assessments, interviews and individual planning. identify issues that affect school performance such as poor classroom attendance rates. help students understand and overcome social or behavioral  problems through classroom guidance lessons and counseling","elementary school counselors, middle school counselors, high school counselors, career counselors",""
social and human service assistants,"social and human service assistants provide client services, including support for families in a wide variety of fields such as psychology, rehabilitation and social work",job,community and social service,"high school diploma, on-the-job training","communication, compassion, interpersonal, organizational, problem-solving, time-management",help determine what type of aid their clients need. work with clients and other professionals such as social workers to develop a treatment plan. help clients find assistance with daily activities such as eating and bathing,,""
social workers,"social workers help people solve and cope with problems in their every day lives. also diagnose and treat mental, behavioral and emotional issues",job,community and social service,"bachelors degree, masters degree","communication, emotional, interpersonal, organizational, problem-solving","identify people and communities in need of help. assess clients needs, situations, strengths and support networks to determine their goals. help clients adjust to changes and challenges in their lives, such as illness divorce or unemployment.","bachelors social workers, clinicl social workers, licensed clinical social workers, masters social workers, child and family social workers, school social workers, healthcare social workers, mental health and substance abuse social workers",""
"substance abuse, behavioral disorder and mental health counselors","substance abuse, behavioral disorder, and mental health counselors advise people who suffer from alcoholism, drug addiction, eating disorders, mental health issues or other mental or behavioral problems",job,community and social service,"bachelors degree, masters degree, high school diploma, on-the-job training","compassion, interpersonal, listening, patience, speaking","evaluate clients mental and physical health, addiction, or problematic behavior and assess their readiness for treatment. develop, recommend and review treatment goals and plans with clients. assist clients in developing skills and behaviors necessary to recover from their addiction or modify their behavior","substance abuse counselors, behavioral disorder counselors, mental health counselors",""
computer and information research scientists,computer and information research scientists invent and design new approaches to computing technology and find innovative uses for existing technology,job,computer and technology,masters degree,"analytical, communication, critical-thinking, detail oriented, ingenuity, logical thinking, math","explore fundamental issues in computer and  developing theories and models to address those issues. help scientists and engineers solve complex computing problems. invent new computing languages, tools and methods to improve the way in which people work with computers",,""
computer network architects,"computer network architects design and build data communication networks including local area networks, wide area networks and intranets",job,computer and technology,"bachelors degree, 5/more/years related occupation","analytical, detail oriented, interpersonal, leadership, organizational",create plans and layouts for data communication networks. present plans to management and explain why they are in the organizations best interest to pursue them.  consider information security when designing networks,,""
computer programmers,computer programmers write and test code that allows computer applications and software programs to function properly,job,computer and technology,bachelors degree,"concentration, detail oriented, troubleshooting",write programs in a variety of computer languages. update and expand existing programs. test programs for errors and fix the faulty lines of computer code.,,""
computer support specialists,computer support specialists provide help and advice to computer users and organizations,job,computer and technology,"associates degree, bachelors degree, postsecondary classes","listening, problem-solving, speaking, writing","test and evaluate existing network systems. perform regular maintenance to ensure that networks operate correctly. troubleshoot local area networks, wide area networks and internet systems",,""
computer systems analysts,"computer systems analysts, sometimes called systems architects, study an organizations current computer systems and procedures and design solutions to help the organization operate more efficiently and effectively",job,computer and technology,bachelors degree,"analytical, communication, creativity",consult with managers to determine the role of it systems in an organization. research emerging technologies to decide if installing them can increase the organizations efficiency and effectiveness. prepare an analysis of costs and benefits so that management can decide if it systems and computing infrastructure upgrades are financially worthwhile.,"software quality assurance analysts, programmer analysts",""
database administrators,database administrators use specialized software to store and organize data such as financial information and customer shipping records.,job,computer and technology,bachelors degree,"analytical, communication, detail oriented, problem-solving",ensure that organizational data are secure. backup and restore data to prevent data loss. identify users needs to create and administer databases,"system dbas, application dbas",""
information security analysts,information security analysts plan and carry out security measures to protect an organizations computer networks and systems,job,computer and technology,"bachelors degree, 5/less related occupation","analytical, detail oriented, ingenuity, problem-solving",monitor their organizations networks for security breaches and investigate a violation when one occurs. install and use software such as firewalls and data encryption programs to protect sensitive information. prepare reports that document security breaches and the extent of the damage caused by the breaches,,""
network and computer systems administrators,computer networks are critical parts of almost every organization. network and computer systems administrators are responsible for the day to day operation of these networks,job,computer and technology,bachelors degree,"analytical, communication, multitasking, problem-solving",determine an organizations system needs and install network hardware and software. make needed upgrades and repairs to networks and ensure that systems are operating correctly.  maintain  network and computer system security,,""
software developers,software developers are creative minds behind computer programs,job,computer and technology,bachelors degree,"analytical, communication,, creativity, detail oriented, interpersonal, problem-solving","analyze users needs and then design, test and develop software to meet those needs. recommend software upgrades for customers existing programs and systems. design each piece of an application or system and plan how the pieces will work together.","applications software developers, systems software developers",""
web developers,"web developers design and create websites. they are responsible for the look of the site. they are also responsible for the sites  technical aspects, such as performance and capacity.",job,computer and technology,associates degree,"concentration, creativity, customer-service, detail oriented",meet with clients or management to discuss the needs and design of a website. create and test applications for a website. write code for the website using programming languages.,"backend web developers, frontend web developers.",""
boilermakers,"boilermakers assemble, install, maintain, and repair boilers, closed vats, and other large vessels or containers that hold liquids and gases",job,construction and extraction,"high school diploma, apprenticeship","mechanical, physical stamina, physical strength, unafraid of confined spaces, unafraid of heights","read blueprints to determine locations, positions, and dimensions of boiler parts. install small premade boilers in buildings and manufacturing facilities. layout  prefabricated parts of larger boilers before assembling them.",,""
carpenters,"carpenters construct, repair and install building frameworks and structures made from wood and other materials",job,construction and extraction,"high school diploma, apprenticeship","business, detail oriented, dexterity, math, physical, problem-solving","follow blueprints and building plans to meet the needs of clients. install structures and fixtures such as windows and molding. measure,cut and shape wood, plastic and other materials","construction carpenters, rough carpenters",""
construction and building inspectors,"construction and building inspectors ensure that construction meets local and national building codes and ordinances, zoning regulations, and contract specifications",job,construction and extraction,"high school diploma, 5/years/more related, on-the-job training","communication, craft experience, detail oriented, mechanical knowledge, physical stamina,","review plans to ensure they meet building codes, local ordinances, zoning regulations, and contract specifications. approve building plans that are satisfactory. monitor construction sites periodically to ensure overall compliance","building inspectors, coating inspectors, electrical inspectors, elevator inspectors, home inspectors, mechanical inspectors, plan examiners, plumbing inspectors, public works inspectors, specification inspectors",""
